"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"Utility","3",75.28,152.02,310.04,321.7,0.00922695988602931,0.62246527145803,4.39431536244228
"Utility","4",54.44,213.92,433.84,445.5,0.80689954617992,0.809826758756489,0.0816898373886943
"Utility","5",55.28,271.7,549.4,561.06,0.572633401956409,0.27438364457339,0.36090834960714
"Utility","6",58.89,274.1,554.2,565.86,0.00191944494474649,0.000624773325398564,2.19767631264403
"Utility","7",59.17,211.11,428.22,439.88,0.640506813768297,0.710182401351631,0.100936673226207
"Utility","8",80.56,115.43,236.86,248.52,0.0420595335308462,0.7212777306512,3.44144811062142
"Utility","9",56.67,241.87,489.74,501.4,0.368845450924709,0.656758127966896,0.176269970405847
"Utility","10",57.22,260.97,527.94,539.6,0.368845450924709,0.656758127966896,0.176269970405847
"Utility","11",56.39,238.02,482.04,493.7,0.0108131523534656,0.380005294144303,0.496645139232278
"Utility","12",58.33,257.75,521.5,533.16,0.0420595335308462,0.0702755151465535,1.17303113078699
"Utility","13",79.72,131.12,268.24,279.9,0.00922695988602931,0.62246527145803,4.39431536244228
"Utility","14",78.33,229.01,464.02,475.68,0.0211913225728273,0.950579613029063,1.66727718831599
"Utility","15",55,274.67,555.34,567,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","16",68.33,154.43,314.86,326.52,0.0121328081004322,0.475316574098542,3.69488865835592
"Utility","17",58.33,230.55,467.1,478.76,0.560712968092412,0.000624773325398564,2.19767631264403
"Utility","18",54.17,250.07,506.14,517.8,0.102924682665616,0.814640038879588,0.0503747446571012
"Utility","19",52.78,253.01,512.02,523.68,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","20",80.56,196.37,398.74,410.4,0.0157257531024516,0.66805558744818,8.91394117148593
"Utility","21",79.17,202.62,411.24,422.9,0.0157257531024516,0.66805558744818,8.91394117148593
"Utility","22",80.83,160.14,326.28,337.94,0.0157257531024516,0.66805558744818,8.91394117148593
"Utility","23",55.83,269.69,545.38,557.04,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","24",53.06,245.02,496.04,507.7,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","25",76.11,238.67,483.34,495,0.00378780423663561,0.466454561380974,9.21782628167421
"Utility","26",49.72,234.48,474.96,486.62,0.902736883759499,0.127531650243327,0.326455962006003
"Utility","27",75.83,165.74,337.48,349.14,0.0079322783654332,0.805399894717634,1.29288565981984
"Utility","28",57.22,268.08,542.16,553.82,0.674199644457549,0.184166133480147,0.582251082565635
"Utility","29",55,250.31,506.62,518.28,0.102924682665616,0.814640038879588,0.0429809715598821
"Utility","31",60.28,174.95,355.9,367.56,6.3503859564662e-05,0.351797909243032,1.41906907781959
"Utility","32",60.56,247.31,500.62,512.28,0.00858802891336376,0.351797909243032,1.41906907781959
"Utility","34",54.72,234.23,474.46,486.12,0.80689954617992,0.810958954188973,0.0816898373886943
"Utility","35",80.83,136.91,279.82,291.48,0.00703239896334704,0.626640220507979,4.39431536244228
"Utility","36",53.33,265.4,536.8,548.46,0.640506813768297,0.710182401351631,0.069104242455214
"Utility","37",52.78,241.52,489.04,500.7,0.102924682665616,0.814640038879588,0.0435213948100805
"Utility","38",52.5,264.01,534.02,545.68,0.795467417687178,0.0756164886988699,0.444915757086128
"Utility","39",53.06,239.79,485.58,497.24,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","40",59.17,221.73,449.46,461.12,0.00858802891336376,0.351797909243032,1.41906907781959
"Utility","41",55.56,237.73,481.46,493.12,0.368845450924709,0.656758127966896,0.098992981482297
"Utility","42",83.61,153.66,313.32,324.98,0.0157257531024516,0.66805558744818,8.91394117148593
"Utility","43",81.39,209.32,424.64,436.3,0.0157257531024516,0.66805558744818,8.91394117148593
"Utility","44",55.56,240.78,487.56,499.22,0.465962450252846,0.0935949867125601,0.766911653336138
"Utility","45",62.5,228.95,463.9,475.56,6.3503859564662e-05,0.351797909243032,1.41906907781959
"Utility","46",58.89,190.71,387.42,399.08,0.102924682665616,0.814640038879588,0.29759650118649
"Utility","47",52.78,289.51,585.02,596.68,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","48",54.72,275.71,557.42,569.08,0.0420595335308462,0.0398068804517388,0.743660114984959
"Utility","49",73.61,182.5,371,382.66,0.000422381180080825,0.530590199088931,2.39099955651909
"Utility","50",76.39,125.45,256.9,268.56,0.0420595335308462,0.354661887465045,9.49085240950808
"Utility","51",55.56,281.83,569.66,581.32,0.883017404004931,0.60010553537868,0.120993126295507
"Utility","52",49.17,239.69,485.38,497.04,0.413724326295778,0.343516472261399,0.104671118315309
"Utility","53",57.5,241.7,489.4,501.06,0.00932194077492712,0.896587244234979,0.0840562618877865
