"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","55",94.17,149.35,302.7,310.47,1.61228347386661e-08,0.921858180450877,NA
"TD","56",93.06,146.28,296.56,304.33,5.93190244071243e-08,0.759107750363831,NA
"TD","57",98.33,41.03,86.06,93.83,0.0004174502355148,1.14938354541275,NA
"TD","58",90.28,200.47,404.94,412.71,5.04046576515191e-09,0.707643182699298,NA
"TD","59",92.5,103.23,210.46,218.23,3.03442788850402e-09,0.73770388179088,NA
"TD","60",82.78,124.12,252.24,260.01,0.0241012663203915,1.04371295176406,NA
"TD","61",65,217.69,439.38,447.15,2.76026435254081e-08,0.096607411578508,NA
"TD","62",58.61,216.4,436.8,444.57,1.33982143677044e-07,0.0340799134845548,NA
"TD","63",98.61,18.02,40.04,47.81,2.3124199354519e-08,1.13777790636353,NA
"TD","64",94.17,64.4,132.8,140.57,2.4533580794882e-08,0.856830366434975,NA
"TD","65",85.56,221.8,447.6,455.37,7.09135483958642e-08,0.596040267030584,NA
"TD","67",80,146.3,296.6,304.37,0.00883043913964243,0.668118957528604,NA
"TD","68",56.39,239.97,483.94,491.71,4.62234214880529e-07,0.0327023175248599,NA
"TD","69",51.39,271.17,546.34,554.11,0.190048412277681,3.1054145697276e-08,NA
"TD","70",89.17,117.24,238.48,246.25,6.81068434332829e-10,0.661687187214363,NA
"TD","71",61.39,264.41,532.82,540.59,1.27101599958978e-07,0.0326743257879496,NA
"TD","72",51.67,293.5,591,598.77,0.101093793907461,2.25085874274494e-06,NA
"TD","73",94.44,38.55,81.1,88.87,3.41793265140209e-08,0.888920577906338,NA
"TD","74",90.28,119.85,243.7,251.47,0.0418363172681774,1.3366464436395,NA
"TD","75",92.5,106.2,216.4,224.17,7.42599360939368e-08,0.72201068574822,NA
"TD","76",58.06,223.34,450.68,458.45,1.4735776144474e-09,0.0227209687544867,NA
"TD","77",60.83,221.14,446.28,454.05,0.370047749095127,0.0691294593527478,NA
"TD","78",94.72,108.36,220.72,228.49,0.00711254998709483,1.36712015680674,NA
"TD","79",91.94,111.91,227.82,235.59,5.05345118512066e-09,0.694014901442968,NA
"TD","80",86.94,96.33,196.66,204.43,0.0082947887930979,0.797551878307883,NA
"TD","81",94.44,127.04,258.08,265.85,7.36607107650917e-08,0.919493775974747,NA
"TD","82",95.28,126.35,256.7,264.47,2.63237465708562e-08,0.919236736214853,NA
"TD","83",88.61,163.22,330.44,338.21,1.83624303104214e-08,0.657671022883413,NA
"TD","84",96.94,73.3,150.6,158.37,5.12551058295638e-09,1.00785241017761,NA
"TD","85",55.56,225.04,454.08,461.85,0.199869919471181,0.0342281651080578,NA
"TD","86",97.78,23.12,50.24,58.01,4.95093044567518e-09,1.05710369850565,NA
"TD","87",59.17,237.11,478.22,485.99,1.65677384350532e-07,0.0382090941041124,NA
"TD","88",57.78,235.92,475.84,483.61,0.30597002752045,0.0372572226990982,NA
"TD","89",86.67,111.54,227.08,234.85,7.47608669260706e-08,0.577487936906904,NA
"TD","90",62.22,204.26,412.52,420.29,6.41383967043794e-08,0.0544067032487082,NA
"TD","91",67.5,213.56,431.12,438.89,3.84203143242391e-08,0.131204725367874,NA
"TD","92",57.22,231.73,467.46,475.23,1.00313326066783e-07,0.0425884547368358,NA
"TD","93",61.94,202.43,408.86,416.63,2.82864747051271e-07,0.058513329492218,NA
"TD","94",98.89,13.22,30.44,38.21,0.000328374136076566,1.25534193368195,NA
"TD","95",65.83,235.36,474.72,482.49,8.92212413211996e-08,0.128814581419433,NA
"TD","96",56.94,217.07,438.14,445.91,3.76153952774141e-07,0.0331605898491295,NA
"TD","97",90,111.79,227.58,235.35,4.96422474719272e-09,0.689299791362437,NA
"TD","98",58.61,225.98,455.96,463.73,1.29087227879221e-09,0.0551035813196204,NA
"TD","99",93.06,120.26,244.52,252.29,5.90190449605593e-09,0.77873384331516,NA
"TD","100",58.61,240.32,484.64,492.41,0.562751764987597,0.0313477806532371,NA
"TD","101",53.33,262.83,529.66,537.43,0.347714989987517,0.0407311240093759,NA
"TD","102",93.06,205.85,415.7,423.47,1.26549695802572e-07,0.826792310272431,NA
"TD","103",93.61,152.96,309.92,317.69,5.91395097887069e-09,0.887402461664362,NA
"TD","104",96.94,71.91,147.82,155.59,2.5205088958059e-08,1.00371392524412,NA
