"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"RSTD","75",55.56,232.41,470.82,482.48,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","76",58.61,297.58,601.16,612.82,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","77",59.44,252.27,510.54,522.2,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","78",90.83,186.88,379.76,391.42,0.100848220427557,0.365242462355655,2.40834041451773
"RSTD","79",58.89,284.48,574.96,586.62,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","80",61.94,243.24,492.48,504.14,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","81",96.67,201.2,408.4,420.06,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","82",96.67,191.74,389.48,401.14,0.056959750971247,0.528833937920327,3.47367422053729
"RSTD","83",58.89,245.55,497.1,508.76,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","84",97.5,171.87,349.74,361.4,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","85",57.22,291.17,588.34,600,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","86",98.06,121.96,249.92,261.58,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","87",57.78,275.82,557.64,569.3,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","88",60.56,279.21,564.42,576.08,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","89",57.22,230.78,467.56,479.22,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","90",60.56,268.73,543.46,555.12,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","91",56.39,258.82,523.64,535.3,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","92",58.33,260.27,526.54,538.2,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","93",61.11,272.44,550.88,562.54,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","94",99.17,32.66,71.32,82.98,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","95",59.44,294.15,594.3,605.96,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","96",55,340.85,687.7,699.36,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","97",92.5,194.4,394.8,406.46,0.0574469049814895,0.17215534577569,3.95803801585774
"RSTD","98",56.94,273.91,553.82,565.48,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","99",90.56,155.46,316.92,328.58,0.0982828540750988,0.561030272140435,1.71132814367246
"RSTD","100",58.33,311.54,629.08,640.74,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","101",58.89,311.26,628.52,640.18,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","102",91.67,203.67,413.34,425,0.109515799394699,0.531933389926394,1.56705632106008
"RSTD","103",96.67,220.63,447.26,458.92,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","104",98.06,150.46,306.92,318.58,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","105",58.61,249.66,505.32,516.98,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","106",59.44,222.12,450.24,461.9,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","107",57.78,232.69,471.38,483.04,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","108",58.61,212.67,431.34,443,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","109",57.22,247.81,501.62,513.28,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","110",90,86.56,179.12,190.78,0.121405725247055,0.357577516133667,1.0539906607412
"RSTD","111",92.5,190.43,386.86,398.52,0.0948406609240919,0.301228899974376,3.53904571849853
"RSTD","113",91.67,215.61,437.22,448.88,0.12189925997518,0.954473827499896,2.46448994148523
"RSTD","114",58.06,246.76,499.52,511.18,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","115",56.94,251.08,508.16,519.82,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","116",63.06,221.15,448.3,459.96,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","117",57.5,221.65,449.3,460.96,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","118",56.39,246.01,498.02,509.68,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","119",98.89,60.26,126.52,138.18,0.0246136845089495,0.102864644257352,5.21135725779459
"RSTD","120",59.44,216.79,439.58,451.24,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","121",60.28,234.67,475.34,487,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","122",57.5,286.28,578.56,590.22,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","123",55.83,307.17,620.34,632,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","124",58.61,224.36,454.72,466.38,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","125",56.94,286.9,579.8,591.46,0.413724326295778,0.343516472261399,0.104671118315309
"RSTD","126",93.89,232.97,471.94,483.6,0.0592943825520996,0.335700968364756,2.74027692733129
"RSTD","127",95.28,246.17,498.34,510,0.0624378783100362,0.66110998477155,2.98861299196162
"RSTD","128",56.94,342.78,691.56,703.22,0.413724326295778,0.343516472261399,0.104671118315309
