"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"Utility","99",90.56,97.24,200.48,212.14,0,0.49376336769327,10
"Utility","100",63.06,235.07,476.14,487.8,0,1,0.130361691788184
"Utility","101",55.56,265.66,537.32,548.98,0.162942239292093,0.127426149147635,0.730090023893389
"Utility","102",59.72,194.96,395.92,407.58,0,1,0.0878901287095512
"Utility","103",93.33,129.93,265.86,277.52,0,0.872277028927669,1.61543000772147
"Utility","104",98.06,161.87,329.74,341.4,0,1,10
"Utility","105",53.89,248.15,502.3,513.96,1e-05,1e-05,9.99999858778752e-06
"Utility","106",86.11,106.07,218.14,229.8,0,0.44819297321139,10
"Utility","107",83.33,116.08,238.16,249.82,0.0098577281712065,0.533279035161497,9.9996288973871
"Utility","108",77.22,145.48,296.96,308.62,0,0.393294615386483,10
"Utility","109",63.61,241.91,489.82,501.48,0,0,10
"Utility","110",96.39,48.89,103.78,115.44,0,0.539967935174021,10
"Utility","111",88.61,111.15,228.3,239.96,0,0.471265562418438,9.99971258959435
"Utility","113",88.33,88.82,183.64,195.3,0,0.471233898153015,10
"Utility","114",84.44,111.35,228.7,240.36,0,0.441220341086264,10
