simulate_model,fit_model,iteration,ACC,LogL,LogPr,LogPo,AIC,BIC,input_param_1,input_param_2,input_param_3,output_param_1,output_param_2,output_param_3
TD,RSTD,72,100,-82.42,NA,NA,170.84,182.5,0.628910263,2.954663023,NA,0.378080687,0.625236568,1.48173618
TD,RSTD,73,100,-132.27,NA,NA,270.54,282.2,0.415234696,0.710676135,NA,0.685745784,0.374696371,0.577272791
TD,RSTD,74,100,-102.2,NA,NA,210.4,222.06,0.857857149,0.936107956,NA,0.786583226,0.822843929,0.829940768
TD,RSTD,75,100,-189.73,NA,NA,385.46,397.12,0.629901704,0.199268886,NA,0.560887309,0.495842485,0.131536814
TD,RSTD,76,100,-192.78,NA,NA,391.56,403.22,0.35928991,0.364497002,NA,0.495386191,0.364586115,0.163647952
TD,RSTD,77,100,-100.62,NA,NA,207.24,218.9,0.446684151,1.468605189,NA,0.687156466,0.421719369,1.119313943
TD,RSTD,78,100,-184.94,NA,NA,375.88,387.54,0.378760502,0.432298531,NA,0.582386161,0.334982887,0.178851971
TD,RSTD,79,100,-135.25,NA,NA,276.5,288.16,0.372670354,0.686002679,NA,0.929805292,0.437054923,0.554822361
TD,RSTD,80,100,-182.88,NA,NA,371.76,383.42,0.428967847,0.430095954,NA,0.285208213,0.293990657,0.342678578
TD,RSTD,81,100,-220.43,NA,NA,446.86,458.52,0.111280993,0.04204805,NA,0.561959542,0.090194919,0.031278355
TD,RSTD,82,100,-116.1,NA,NA,238.2,249.86,0.1421618,1.606636273,NA,0.187470056,0.191372264,0.969787493
TD,RSTD,83,100,-78.11,NA,NA,162.22,173.88,0.779834398,3.557625862,NA,0.417391452,0.712342627,3.302832124
TD,RSTD,84,100,-168.77,NA,NA,343.54,355.2,0.386252531,0.630521602,NA,0.455287013,0.303500566,0.312390158
TD,RSTD,85,100,-192.91,NA,NA,391.82,403.48,0.238968567,0.305974979,NA,0.59323306,0.366702758,0.123914328
TD,RSTD,86,100,-195.82,NA,NA,397.64,409.3,0.6702823,0.116263606,NA,0.814561479,0.541674869,0.087313687
TD,RSTD,87,100,-117.32,NA,NA,240.64,252.3,0.560497719,0.792237847,NA,0.793285236,0.48582196,0.696700202
TD,RSTD,88,100,-191.89,NA,NA,389.78,401.44,0.915246692,0.194212661,NA,0.670461651,0.637961383,0.114228893
TD,RSTD,89,100,-107.05,NA,NA,220.1,231.76,0.589335348,0.931611172,NA,0.290346852,0.393925579,0.772252533
TD,RSTD,90,100,-145.65,NA,NA,297.3,308.96,0.987134295,0.600823707,NA,0.960765677,0.862472316,0.530902276
TD,RSTD,91,100,-181.82,NA,NA,369.64,381.3,0.40112499,0.43657127,NA,0.304238157,0.273329564,0.321505895
TD,RSTD,92,100,-213.74,NA,NA,433.48,445.14,0.565618214,0.064915997,NA,0.929577946,0.57293734,0.047386053
TD,RSTD,93,100,-199.69,NA,NA,405.38,417.04,0.12512722,0.546449628,NA,0.235633249,0.231396801,0.227440652
TD,RSTD,94,100,-122.19,NA,NA,250.38,262.04,0.791645931,0.766796249,NA,0.785137756,0.775702213,0.620480812
TD,RSTD,95,100,-205.62,NA,NA,417.24,428.9,0.098831951,0.092432989,NA,0.187517204,0.158551156,0.072596817
TD,RSTD,96,100,-120.74,NA,NA,247.48,259.14,0.333673485,0.79963922,NA,0.976016698,0.44202775,0.660465548
TD,RSTD,97,100,-203.52,NA,NA,413.04,424.7,0.101720168,0.620830334,NA,0.45648537,0.210373028,0.120387711
TD,RSTD,98,100,-222.76,NA,NA,451.52,463.18,0.018728345,0.165121834,NA,0.12570037,0.226957346,0.049748378
TD,RSTD,99,100,-118.16,NA,NA,242.32,253.98,0.461979309,0.880842309,NA,0.649902081,0.392835283,0.692624124
TD,RSTD,100,100,-106.52,NA,NA,219.04,230.7,0.729020358,0.835652914,NA,0.682681619,0.7444722,0.68529458
TD,Utility,1,100,-108.8,NA,NA,223.6,235.26,0.643091264,0.833578742,NA,0.787179303,0.917276665,0.978927683
TD,Utility,2,100,-82.2,NA,NA,170.4,182.06,0.724670133,1.435616042,NA,0.828335825,0.988211439,1.377500826
TD,Utility,3,100,-84.85,NA,NA,175.7,187.36,0.950232451,2.037790157,NA,0.892289786,0.948839198,4.224162554
TD,Utility,4,100,-203.08,NA,NA,412.16,423.82,0.682289759,0.072022455,NA,0.810429824,0.297894083,0.701670477
TD,Utility,5,100,-114.69,NA,NA,235.38,247.04,0.200363578,1.005684399,NA,0.304178491,0.625043737,4.999986922
TD,Utility,6,100,-187.87,NA,NA,381.74,393.4,0.321220334,0.298665664,NA,0.420969592,0.794647042,0.391990484
TD,Utility,7,100,-217.83,NA,NA,441.66,453.32,0.571441248,0.050213295,NA,0.129224213,0.297645779,0.485128448
TD,Utility,8,100,-195.13,NA,NA,396.26,407.92,0.973066304,0.392999499,NA,0.847985565,0.974032381,0.41525675
TD,Utility,9,100,-242.36,NA,NA,490.72,502.38,0.895209939,0.00547374,NA,0.552266395,2.97E-07,8.61E-06
TD,Utility,10,100,-226.31,NA,NA,458.62,470.28,0.049414618,0.507862411,NA,0.126180431,0.370611582,0.650146219
TD,Utility,11,100,-212.78,NA,NA,431.56,443.22,0.197620301,0.189836999,NA,0.442100263,0.032781962,2.088783518
TD,Utility,12,100,-224.74,NA,NA,455.48,467.14,0.056064042,0.56602673,NA,0.127496297,0.304441318,0.843827392
TD,Utility,13,100,-149.45,NA,NA,304.9,316.56,0.051307132,1.232473707,NA,0.171525181,0.999999929,0.726649844
TD,Utility,14,100,-193.3,NA,NA,392.6,404.26,0.989872475,0.208000437,NA,0.710472633,0.699931445,0.370420132
TD,Utility,15,100,-173.89,NA,NA,353.78,365.44,0.711294804,0.576327974,NA,0.864347091,0.607428349,3.073513066
TD,Utility,16,100,-242.4,NA,NA,490.8,502.46,0.076893083,0.009669867,NA,0.133925661,0.194189005,6.60E-07
TD,Utility,17,100,-77.84,NA,NA,161.68,173.34,0.797194604,2.505488173,NA,0.836923169,0.99483926,1.588845421
TD,Utility,18,100,-86.18,NA,NA,178.36,190.02,0.731893435,1.274954205,NA,0.814899616,0.982544553,1.202990495
TD,Utility,19,100,-114.85,NA,NA,235.7,247.36,0.809085062,0.797056699,NA,0.802896273,0.922169769,0.960317363
TD,Utility,20,100,-97.97,NA,NA,201.94,213.6,0.511981163,2.391249828,NA,0.406195682,0.683084735,4.999994457
